customer_text,amazon_reply,intent,label_notes
@115850 I have purchased a Motorola pulse escape for rupees 1990 and paid the amount by Visacard by online portal. But somehow first time the transection has been failed but money has been deducted and therefore I have paid second time for the product. I want my money back.,@767791 I'm sorry to hear about your payment. Please report this to our support team here: https://t.co/vlvfJr4nN9 so that we can assist you better. ^HS,Refund / Return,
Hey @115821 remind me why I'm paying for 2day shipping when twice this week my packages have been late and another package last month was also late.,@231823 So sorry to hear about the issues! Are the orders arriving later than the dates provided in your order confirmation e-mails? ^GS,Delivery Issue,
"@AmazonHelp You see, it's not just the thrill and the throttle for me. It's the storytelling and the cliffhangers that make it, it. And not sure what the form was about, but filled it nevertheless... https://t.co/Hyexcr1JPZ",@132975 I feel yahh!! The wait still continues!! Thank you keeping us posted. ^BV,Other,
"@115850 order id-402-4902132-3775509  how this paymnt can be done when no delivery boy came to my add.
Allahabad delvry system is poor. https://t.co/jGqMCKUqen",@193234 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. 1/2^HN,Order Status,
@AmazonHelp It says out for delivery,@318610 Since it is on the truck for delivery it will be delivered today by 8pm. Keep us updated on its arrival! ^ZW,Order Status,
@AmazonHelp I've gotten it and it works now so thank you,@478934 No problem Jack. ^KM,Other,
"@AmazonHelp I have placed 3 orders none of them have delivered yet. I had to cancel it after waiting for a months
See Order#__credit_card__",@441304 Sorry to know about this. Please reach us from here: https://t.co/rS49hgaADF we'll assist you. (1/2) ^SV,Order Status,
"@118919 can you provide an assistance regarding a product i ordered because i received an email to review on the product when in fact it has not been delivered to me. The expected date of delivery mentioned was 28Nov, no attempts for delivery whatsoever",@133292 Apologies for the delay. Have you reported this to our support team here: https://t.co/vlvfJr4nN9? We'd like to check this for you. ^RB,Product / Seller,
@AmazonHelp @115851 the status still says on the way - This is laughable !! https://t.co/3nBMazoDUE,@208321 We've sent a correspondence to your registered email address. Please check and revert. ^SQ,Order Status,
@AmazonHelp It’s with https://t.co/qgEGP0rVqi. I have been charged $10.99 for a U.S subscription for amazon prime and I don’t have prime.,@271115 Please contact us directly so we can look into this with you: https://t.co/hApLpMlfHN ^SB,Payment / Charges,
"@AmazonHelp #facepalm cookies and cache do not create issues like that, those look like placeholder tokens that were not replaced when the page was rendered. I'd suggest you have your developers look into this, I am fairly sure they will find references to the tokens in the source code.","@804864 Are you able to see if the A-Z claim was submitted before you received the error message? If not, you can contact us here and we'll be glad to assist: https://t.co/hApLpMlfHN ^FJ",Technical Issue,
@AmazonHelp A claim and escalated. Then the same bs email about how more info is needed and the seller hasn’t received the item. Horrible customer serv.,@129194 I'm sorry for the A-to-z issues. I'd like our team to look into this. Please send us order info here: https://t.co/Z3sF5pyYG5 ^BE,Product / Seller,
"@115821 @119356 @AmazonHelp @115851 @209576 Is there anyone who is really concerned abt their customers?  Desperately looking for positive solution. I m not getting any Email response too. Extremely disappointing. Instead of postmorteming the issue, give me the replacement of goods..🙏🙏",@209575 Request you to revert to our email correspondence that you have received on your registered email ID here: https://t.co/NTkrxpsbHJ with further query on this and we'll be happy to take it over from there. (2/2)^SF,Refund / Return,
"@115850 my package is to be delivered today. Have a flight in evening, and I am here at location only for the next two hours. Please help!","@491794 I understand the importance of the order. However, we deliver orders till 8 PM if the product is (1/2) ^GK",Delivery Issue,
@115850  https://t.co/JaLEb3OG0B,@384979 We cross-checked and the app seems to be running fine. Try back in sometime and keep us posted. ^CB,Other,
@AmazonHelp Had email with £40 off a Kindle. Website won't allow the code says it's expired.,@691785 Sorry to hear about the issue you're having. Is there info in the email about the date that the offer is available until? There may be Terms &amp; Conditions in the email to advise this. ^ES,Digital Content,
@115850 Stop posting shit. You sold be a defective product and doesn't give a damn about  issue. #biycottAmazon #fakeamazon #disappointing services,@626603 here: https://t.co/GIJyeYqKE0 and I'll reach out to you. 2/2 ^MM,Technical Issue,
"@AmazonHelp Yea, same day delivery didn’t get delivered TWICE. After leaving delivery instructions, even though even when I haven’t I usually get a phone call. Also my previous package with 2 day delivery was a day late. What’s the point in being a prime member?","@799756 Thank you for that information! To better assist you, could you please let us know from which of our marketplaces were these orders placed? https://t.co/nUUp5MLhYl, https://t.co/ykTUEmdsQA, etc. ^RB",Prime Membership,
@AmazonHelp No updates since that Saturday message about access. Got other mail and different Amazon package on Saturday.,"@476653 Typically, late deliveries arrive the next business day from when the delivery was marked as attempted. Keep us updated! ^AB",Delivery Issue,
@AmazonHelp #First lost my order# then you place replacement order # 2 days delivery for normal purchase &amp; 5 days for replacement # what a disgusting service,"@576412 Sorry about your recent experience, Sameer. I've noted your comments and have forwarded your feedback internally. Please be assured that necessary steps will be taken to resolve this issue. ^SY",Refund / Return,
Mala experiencia con @116928. Van 2 pedidos no entregados y ha pasado casi 1 mes de la fecha de entrega. Pongo reclamación y ni contestan,"@324798 Hola Ro, lamentamos el inconveniente. ¿Has contactado con el transportista o con nosotros directamente ?^MB",Other,
@115850 kindly refund my money  order #404-9907668-2959526,"@306778 Please don't provide your order details,we consider it to be personal information.Our page is visible to the public.2/2 ^SC",Refund / Return,
How do I contact @115830 and why is it so dificoult?,@705217 Hello! You can get in touch with us here: https://t.co/JzP7hlA23B. ^CN,Customer Support / Escalation,
"Really wanting to be an @115821 fan, but when all three of my devices are broken after having them for 3 months it's hard...","@206738 Oh no! Sorry to hear that, Jon. Will you tell us more about what's going on? Please don't share personal account info! ^AB",Technical Issue,
@AmazonHelp How long it will take can you please deliver it now.,@216204 Now might not be probable. We'll be reverting shortly with further updates. Kindly wait until we reach out. Thanks! ^AB,Other,
@AmazonHelp Livraison reportée au 2 novembre.. Heureusement que j'en avais besoin avant et que j'ai pris celui là pour le fait qu'il arrivait avant ! ;),@460284 La solution adaptée vous sera proposée d'ici là. Je vous remercie pour votre patience et compréhension. ^MH,Other,
@AmazonHelp yes i dropped all the details. it has been more than a week.,@159037 Kindly check it from the link shared here: https://t.co/NTkrxpsbHJ (2/2)^HR,Other,
"@115821 amazone did fraud with me.. i buy a product prepaid and amazone didn't give me the product or  refund 
Order #
403-4256956-6053949","@479219 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^KA",Refund / Return,
Just called @115830 . They said account is on hold. Couldn’t tell me why and that someone would call me in 24hours. Utter rubbish. Your customer service continues to dumbfound me.,"@739004 I know how frustrating this is. An account specialist is the best one to get this resolved for you. Keep an eye on your e-mail and be sure to check your spam/junk as well, the e-mails can be routed there sometimes. ^AL",Account / Login,
"@115821 So, now explaining it for a fifth time to get another agent. Who still doesn’t get it.",@122721 We'd like to have a member of our team look in to this! Leave your info here: https://t.co/gZv6vU0Qyy Keep us posted! ^KN,Customer Support / Escalation,
@AmazonHelp You did it again. Received wrong product today sixth time..  #nowords @AmazonHelp,@467065 I'm sorry you've received a wrong product. Could you confirm if you've shared the details through the link provided earlier? ^AP,Product / Seller,
@AmazonHelp @115821 @AmazonHelp @115850 what good is amazon prime for me then? when it doesn't even work.,@549803 I'll be sure to pass your comments as feedback to our concerned team for review. ^GS,Other,
@116875 hola me pueden ayudar a hacer una corrección en una factura de un producto que ya recibí?,"@172353 Hola Mario, para esta gestión debes contactar a nuestro Servicio al Cliente con este enlace: https://t.co/beR78zMMYB . ^MB",Product / Seller,
@115850 How come the prce of Sandisk microsd crd wth adaptor priced in ur 'Lightning Deal' as 649 bcomes 739 at chkout wth normal delivery,@174216 That's strange. Please reach out to us at: https://t.co/vlvfJr4nN9 we'll check it for you. ^AU,Payment / Charges,
@115850 Trying to reach amazon customer care since last two weeks regarding order 408-3616751-7832318. Tried through email and call but no response. Tried in app help but no relevant option. I pm my number to you to call me regarding the issue.,"@140392 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. (2/2) ^SV",Technical Issue,
@AmazonHelp Can you please tell me why same product is tagged with 3 different prices at 3 different times..,"@165812 Also, different sellers do provide the same item at different prices. 2/2 ^EM",Payment / Charges,
アマゾンさん違う商品送ってきたよ～😭,@821969 ご迷惑をお掛けし申し訳ございません。お届けした商品に問題があった場合、Amazonが発送する商品は返品・交換（可能な商品のみ）にて対応させていただいております。お手数ですが、リンクをご参照の上お手続きください。https://t.co/TYbxdUDknb TN,Other,
"@115850 Whats the point giving code which never works and give error ""This property is not participating in the offer"" -Lucky Winner of Amazon Great Indian Festival 2017",@635873 We would like to understand the issue in a better way. Kindly elaborate on the concern for us. ^CB,Technical Issue,
@AmazonHelp @137599 my copy of destiny 2 was cancelled because we used the same card to pay on each account and every person I’ve talked to in CS has told me to just buy it again at more than double the price it was when I purchased it,@223706 I'm sorry to hear about this! Was there a quantity limit for the item while it was on sale? ^JS,Account / Login,
Okay but... I'm officially a victim of misleading photos on Amazon. @115821 https://t.co/hl2Z2nJQJm,@188696 I'm sorry your order didn't arrive as you expected. Let's explore your return options here: https://t.co/Hzomb3EI6X ^GG,Other,
"Hi.
https://t.co/GzF9Py9bXZ","@782772 Hello, how may I help you? ^AH",Other,
For god sake @115821!! Second time in 6 weeks your delivery guy breaks my mailbox door! Like that box was ever going to fit!! .de order https://t.co/N6GqYoVsDo,"@124654 Please get in touch with us, the Amazon.de Social Media Team: https://t.co/cUDnC8mjd7 We would like to check this. ^SI",Order Status,
Half of the country who ordered Echo after October 5 has received their unit. But @115850 guys in Hyderabad are yet to deliver my unit.,@182861 I understand you'd like the Echo to be delivered soon. Could please let us know if we've missed (1/2) ^GS,Technical Issue,
Just pulled another #Amazon delivery out of the bushes since the #amzl people can’t walk the extra 2 ft to my door. So tired of this.,@115853 I'm sorry we let you down! We'd like to make sure this is addressed. Please provide some details here: https://t.co/z6evtFsZI5 ^BN,Other,
"@118919 Madharchod amajon wale randi ke aaulad madharcho mera paisa fasaya helpline numbe bhi nhi lag rha 
Bhut jaldi honewala hai patan india se",@215940 link here: https://t.co/TxK11znixD and we will assist you further. (2/2)^HR,Customer Support / Escalation,
"@AmazonHelp  agents say, we will refund you in 5 days! it's been 13 days. still waiting for @71902 @133462 is growing better. https://t.co/nNwMDB50eP",@307766 we consider them as personal information. Our Twitter page is visible to public. (2/2)^VM,Refund / Return,
"@AmazonHelp Have done that. But what’s the point, have raised it before but no one does anything???",@232601 Kindly share your details via the above link. We'll check this for you. ^SG,Other,
"@AmazonHelp @115851 very shameful activity by amazon, instead of taking action on complaint you people give make responsibility on consumer. 1/2",@182670 reply to the email you've received from our team and we'll get back to you. 2/2 ^KA,Other,
@115830 Can you confirm that order 206-8195514-7057146 is still being delivered today please,"@389482 Thanks for reaching out to us today, Niall!  We're unable to access your account but we'd love to help! Could you tell us the latest tracking update for this delivery: https://t.co/aaDyEz1VgE ^ML",Order Status,
@AmazonHelp Here it is. I know they are working hard and a hurry but it’d be nice if packages were not thrown @ front door https://t.co/MQQLDAceIW,"@456914 We'd like to escalate this for you. As detailed as possible, please provide your info for us here: https://t.co/024E3pVOXE ^BV",Delivery Issue,
@AmazonHelp Danke,@193849 Gerne 😊,Other,
@AmazonHelp You're missing the point I paid for next day delivery and here we are 2 days later and I still haven't got it,@150360 We can't see accounts w/ Twitter so please reach out to us so we can look into options for the order: https://t.co/JzP7hlA23B ^DD,Payment / Charges,
"@AmazonHelp Milford, US (Massachusetts) station is unable to deliver *any* package to my address on time, if ever—I suspect they're intentionally ""losing"" (destroying) my packages, #AmazonLogistics leadership team is unable to provide satisfaction #CloseTheStation #TerminateStationManagers",@425206 Is there a parcel that is in transit just now that you are currently having problems with? ^KI,Delivery Issue,
@AmazonHelp Providing my details 9th time. Let's see what you gonna do this time,@329177 Thanks a lot for the cooperation.  We'll reach out to you at the earliest to make things right. ^CB,Other,
@AmazonHelp Dji phantom drones weren't available on amazonin. Are they available now since you showed one in the video lol,@211501 You might want to check these out: https://t.co/LreYA638RU. ^SQ,Product / Seller,
@AmazonHelp @115851  sorry to bother you but Amazon did mentally harass with me specially for this product.Pls do the needful. Pls escalate till high,@301084 I'm sorry for the stretch. Our team is currently working on your issue. We'll get back to you at the earliest. We've (1/2)^AU,Product / Seller,
Amazon drivers need to fix up - how are you gunna pull up outside my house and still deliver my parcel to the wrong address 😐,"@325160 Oh no! I'm so sorry, Sim! Please phone us here: https://t.co/JzP7hlA23B to report this. Were you able to retrieve your parcel? ^LB",Delivery Issue,
@AmazonHelp Still confused. Item I purchased is marked as Prime and in stock. Therefore should be despatched tomorrow latest surely? So I should have it Thursday? https://t.co/SaqeLWGZzK,"@804152 Some items do take longer to process! We don't have access to orders via social media, if you'd like us to look into this order, please reach out to us here:https://t.co/JzP7hlA23B ^AH",Product / Seller,
Kitten TV on @116439 🐱🐱🐱 https://t.co/tmvlpcnbJ1,@808529 That's a purrfect shot! ^LS,Other,
@AmazonHelp ordered a phone case and paid £6 for next day deliver yesterday to be told it would be delivered today but never turned up 🤷🏻‍♀️,@302334 I'm sorry your case didn't arrive! Were you given an updated delivery date or notice of delay? ^ZW,Payment / Charges,
"@AmazonHelp Non, comment faire et pourquoi?","@509971 N'ayant pas accès à votre compte via Twitter, notre SAV est disponible pour vous aider via ce lien: https://t.co/qzuu0dgDXz ^ASZ",Other,
"@AmazonHelp Gonna have to return another thing now, 3rd thing in the last 2 months","@669710 This certainly isn't what we like to here! Without giving any personal information, will you tell us more about the items you've been receiving? Are you noticing a trend? ^HC",Refund / Return,
"Just received my copy of #AnOrdinaryLife , thanks @115821 for Super fast delivery and really can't wait to start reading it @77379 https://t.co/cYFCPRFJEI",@414839 We knew you would be eager to get your hands on it. Seems like an interesting read. Dig in!! ^AB,Other,
@AmazonHelp Hable con atención al cliente y puse día reclamaciones,"@318697 Lamentamos lo sucedido, Laura. ¿El pedido es gestionado por Amazon o por un vendedor externo? ^AV",Other,
@AmazonHelp Where is the applications library??,"@757888 Let's see what we can do to get you there! Just to confirm, which Amazon Fire tablet do you have? ^HC",Technical Issue,
"@AmazonHelp Bonjour, possible d'avoir des nouvelles d'un colis qui n'arrive pas en point relais colis ?","@219318 Bonjour, que dit le suivi de ce dernier ?^AR",Other,
@AmazonHelp Customer care helpless. No answers except prod cut will be delivered,"@319704 I'm sorry for the ordeal you've had to go through. I'd like to assist you with this, kindly drop in your details 1/3 ^EM",Customer Support / Escalation,
@115821 customer service is trash I was told 3 different things each time I called Then they hung up when I asked to speak with a supervisor,"@533755 We'd like a chance to help! Without giving account information, can you tell us more about the concerns you were calling about? ^KJ",Customer Support / Escalation,
"tried ordering Wide Sargasso Sea off @115821 because i need it for college and my shipping address clearly has Fredericksburg, VA in it and they sent it to Troy, AL 😤😤 @AmazonHelp https://t.co/FAvVqC0fdq","@379637 Oh no! Mary, we would love to look into this with you in real time. Please contact us here:  https://t.co/hApLpMlfHN ^LM",Order Status,
@AmazonHelp Realmente eso es lo más importante y no la pérdida de mi pedido? Podéis pedirme por privado el número de seguimiento y así poder ayudarme creo.....,"@266929 No lo es, Laura. Nuestra intención no es molestarte, pero desde este departamento no tenemos acceso a tu cuenta, por lo que necesitamos algunos datos para poder ayudarte. 
^ES",Other,
@AmazonHelp Amazonにこんなシステムがあったなんて……！,@507517 突然リプして申し訳ございません (;´▽｀A`` 中の人がたまたまツイートを拝見したので、ついリプしてしまいました。＊カリカリ梅に釣られたのは内緒です　今後もAmazonをどうぞよろしくお願いいたします～♪ ヽ(*^^*)ノ TN,Other,
