Example,customer_text,amazon_reply,Suggested Intent,human_intent,label_notes
123,@AmazonHelp yes i dropped all the details. it has been more than a week.,@159037 Kindly check it from the link shared here: https://t.co/NTkrxpsbHJ (2/2)^HR,Other,,
124,"@115821 amazone did fraud with me.. i buy a product prepaid and amazone didn't give me the product or  refund _x000D_
Order #_x000D_
403-4256956-6053949","@479219 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^KA",Refund / Return,,
125,@115821 one question. If i buy Amazon Fire HD Tablet with Special Offers I can in the future pay 10 more GBP to remove ads? #Amazon #FireHD,@411802 You'll have the option to remove Special Offers for a 10GBP fee whenever you'd like! More info here: https://t.co/muPVkgX9JY ^WT,Product / Seller,,
126,@117086 e @263285 faz um aplicativo fora da Playstore com suporte ao Android TV ou começa a vender o Firestick por aqui também.,"@508184 Ricardo, ainda não temos previsão mas suas sugestões nos ajudarão a melhorar nossa loja ^VL",Technical Issue,,
127,@AmazonHelp @115851  sorry to bother you but Amazon did mentally harass with me specially for this product.Pls do the needful. Pls escalate till high,@301084 I'm sorry for the stretch. Our team is currently working on your issue. We'll get back to you at the earliest. We've (1/2)^AU,Delivery Issue,,
128,@AmazonHelp No updates since that Saturday message about access. Got other mail and different Amazon package on Saturday.,"@476653 Typically, late deliveries arrive the next business day from when the delivery was marked as attempted. Keep us updated! ^AB",Delivery Issue,,
129,@AmazonHelp Could I get a message please? I’ve got a complaint to make,@366643 Hi Ant. You can get in touch with us to lodge your complaint via this link: https://t.co/JzP7hlA23B ^DC,Customer Support / Escalation,,
130,@AmazonHelp I have shared the required details. Please resolve the issue ASAP,@533178 We have received your details. We'll work on it and get back to you with an update. ^SB,Other,,
131,Okay but... I'm officially a victim of misleading photos on Amazon. @115821 https://t.co/hl2Z2nJQJm,@188696 I'm sorry your order didn't arrive as you expected. Let's explore your return options here: https://t.co/Hzomb3EI6X ^GG,Other,,
132,"@AmazonHelp it was DPD I’ve had pantry boxes before always secure, I’ll need to reorder but I’m not paying delivery again",@691158 I can certainly understand that. Please reach out to us with the link provided  by ^NC  and we will do our best to help. ^CR,Order Status,,
133,@AmazonHelp i think amazon have just took a random £1 off me? I have no idea why,"@165090 We're here to help! In most cases, a smaller amount, such as €1, is an authorization. Have you recently ordered an item? ^AL",Other,,
134,@AmazonHelp Livraison reportée au 2 novembre.. Heureusement que j'en avais besoin avant et que j'ai pris celui là pour le fait qu'il arrivait avant ! ;),@460284 La solution adaptée vous sera proposée d'ici là. Je vous remercie pour votre patience et compréhension. ^MH,Other,,
135,"@AmazonHelp Haven't received yet? I guess I have to cancel this order. I have to give to a friend who is leaving tomorrow morning. If its not delivered today, I would be forced to cancel this order.",@648464 I've checked and we haven't received your details yet to work on this. Please fill in your details in the link provided earlier and let us know. We'll check and reach out to you accordingly. ^VN,Delivery Issue,,
136,@AmazonHelp It’s with https://t.co/qgEGP0rVqi. I have been charged $10.99 for a U.S subscription for amazon prime and I don’t have prime.,@271115 Please contact us directly so we can look into this with you: https://t.co/hApLpMlfHN ^SB,Payment / Charges,,
137,@115821 dudes. You refunded me for the wrong item. I got my wine. Just not my #reesespeanutbuttercups the wine cost more! I only needed $4!,"@622478 We greatly appreciate your honesty! Please provide your info here: https://t.co/e1bGy9Xhvk, so we look into this for you. ^JN",Refund / Return,,
138,"これ今日2通目やねんけど_x000D_
Amazonちゃうよな？_x000D_
装ってるやつやんな。 https://t.co/oABRpkqJ5c","@333861 当サイトからそのようなＥメールをお送りすることはございませんので、記載されているURLはクリックなさらないようお気を付けください🙏_x000D_
Eメールの見分け方については、こちらをご参照ください。https://t.co/r6R7EU9RIb YM",Other,,
139,"@AmazonHelp thank u amazon not to deliver my product on time._x000D_
Again missed delivery date",@183935 That was definitely not intended and we apologize for the delay. Allow our support team to make things right for you. You can report this here: https://t.co/R3EfhzgU8B ^CB.,Delivery Issue,,
140,@AmazonHelp It says out for delivery,@318610 Since it is on the truck for delivery it will be delivered today by 8pm. Keep us updated on its arrival! ^ZW,Order Status,,
141,@AmazonHelp You're missing the point I paid for next day delivery and here we are 2 days later and I still haven't got it,@150360 We can't see accounts w/ Twitter so please reach out to us so we can look into options for the order: https://t.co/JzP7hlA23B ^DD,Delivery Issue,,
142,@AmazonHelp Here it is. I know they are working hard and a hurry but it’d be nice if packages were not thrown @ front door https://t.co/MQQLDAceIW,"@456914 We'd like to escalate this for you. As detailed as possible, please provide your info for us here: https://t.co/024E3pVOXE ^BV",Delivery Issue,,
143,Amazon drivers need to fix up - how are you gunna pull up outside my house and still deliver my parcel to the wrong address 😐,"@325160 Oh no! I'm so sorry, Sim! Please phone us here: https://t.co/JzP7hlA23B to report this. Were you able to retrieve your parcel? ^LB",Delivery Issue,,
144,@AmazonHelp Also promised a refund for missing order but no email confirmation yet,"@674517 I understand your concern. Could you tell us which website your order was placed on? (.com, .co.uk, .com.br, etc.) ^GM",Refund / Return,,
145,"@AmazonHelp @115830  Can you please quote the definition of ""Guaranteed delivery"" please?What's the point in prime if you fail to deliver?","@729287 I'm sorry to hear we've let you down, Hardeep! Does tracking show the parcel is out for delivery? Have we missed our mark? ^CS",Delivery Issue,,
146,@AmazonHelp ordered a JBL CHARGE3 on Black Friday. Unplugged it the first time it does this help!  @164902 maybe you can help too?  I don’t want a return just a new cord. https://t.co/UbEAakQCcI,@547100 So sorry for the trouble! We're here to help! Have you had the chance to look into available options here: https://t.co/eVeMpO7mHH? ^VB,Refund / Return,,
147,@AmazonHelp Amazon shipping.,@119036 Thanks for confirming with us! We'd like to look into this with you in more detail. Please reach out to us here: https://t.co/JzP7hlA23B so we can investigate! ^VB,Order Status,,
148,@AmazonHelp こういう事に備えて無駄に箱が大きいと思っています。商品の箱には破損もなく、動作も問題ないようです。お気遣い有り難うございました。,@787501 商品が無事だったとの事で、安心いたしました。ご不明な点がありましたら、ご遠慮なくお問い合わせください。よろしくお願いいたします。 EK,Other,,
149,Clients @115821 attention à l'arnaque qui tourne par mail !!! https://t.co/UgGWLuJjw1,"@699738 Bonsoir, veuillez faire suivre le message à l’adresse suivante __email__ je vous prie. ^BR",Other,,
150,"@115821 Today it was @81 , the gear I got yesterday was @115817",@289932 Have you had the time to reach out to each of the carriers and set preferences on your deliveries? ^MH,Other,,
